EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,DEPARTMENT_ID,REGION_ID,REGION_NAME,COUNTRY_ID,COUNTRY_NAME,LOCATION_ID,STREET_ADDRESS,POSTAL_CODE,CITY,STATE_PROVINCE,DEPARTMENT_NAME,MANAGER_ID,JOB_TITLE,MIN_SALARY,MAX_SALARY,START_DATE,END_DATE
100,Steven,King,king@gmail.com,515.123.4567,1987-06-17,AD_PRES,24000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Administration Assistant,3000,6000,1987-09-17,1993-06-17
100,Steven,King,king@gmail.com,515.123.4567,1987-06-17,AD_PRES,24000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Public Accountant,4200,9000,1994-07-01,1998-12-31
101,Neena,Kochhar,neena@gmail.com,515.123.4568,1987-06-18,AD_VP,17000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Administration Assistant,3000,6000,1987-09-17,1993-06-17
101,Neena,Kochhar,neena@gmail.com,515.123.4568,1987-06-18,AD_VP,17000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Public Accountant,4200,9000,1994-07-01,1998-12-31
102,Lex,De Haan,lex@gmail.com,515.123.4569,1987-06-19,AD_VP,17000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Administration Assistant,3000,6000,1987-09-17,1993-06-17
102,Lex,De Haan,lex@gmail.com,515.123.4569,1987-06-19,AD_VP,17000,0.0,90,2,"America",US,United States of America,1700,2004 Charade Rd,98199,Seattle,Washington,Executive,100,Public Accountant,4200,9000,1994-07-01,1998-12-31
103,Alexander,Hunold,AHUNOLD,590.423.4567,1987-06-20,IT_PROG,9000,0.0,60,2,"America",US,United States of America,1400,2014 Jabberwocky Rd,26192,Southlake,Texas,IT,103,Programmer,4000,10000,1993-01-13,1998-07-24
104,Bruce,Ernst,BERNST,590.423.4568,1987-06-21,IT_PROG,6000,0.0,60,2,"America",US,United States of America,1400,2014 Jabberwocky Rd,26192,Southlake,Texas,IT,103,Programmer,4000,10000,1993-01-13,1998-07-24
105,David,Austin,DAUSTIN,590.423.4569,1987-06-22,IT_PROG,4800,0.0,60,2,"America",US,United States of America,1400,2014 Jabberwocky Rd,26192,Southlake,Texas,IT,103,Programmer,4000,10000,1993-01-13,1998-07-24
106,Valli,Pataballa,VPATABAL,590.423.4560,1987-06-23,IT_PROG,4800,0.0,60,2,"America",US,United States of America,1400,2014 Jabberwocky Rd,26192,Southlake,Texas,IT,103,Programmer,4000,10000,1993-01-13,1998-07-24
107,Diana,Lorentz,DLORENTZ,590.423.5567,1987-06-24,IT_PROG,4200,0.0,60,2,"America",US,United States of America,1400,2014 Jabberwocky Rd,26192,Southlake,Texas,IT,103,Programmer,4000,10000,1993-01-13,1998-07-24
120,Matthew,Weiss,MWEISS,650.123.1234,1987-07-07,ST_MAN,8000,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
120,Matthew,Weiss,MWEISS,650.123.1234,1987-07-07,ST_MAN,8000,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
121,Adam,Fripp,AFRIPP,650.123.2234,1987-07-08,ST_MAN,8200,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
121,Adam,Fripp,AFRIPP,650.123.2234,1987-07-08,ST_MAN,8200,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1987-07-09,ST_MAN,7900,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1987-07-09,ST_MAN,7900,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1987-07-10,ST_MAN,6500,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1987-07-10,ST_MAN,6500,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1987-07-11,ST_MAN,5800,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1987-07-11,ST_MAN,5800,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
125,Julia,Nayer,JNAYER,650.124.1214,1987-07-12,ST_CLERK,3200,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
125,Julia,Nayer,JNAYER,650.124.1214,1987-07-12,ST_CLERK,3200,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1999-01-01,1999-12-31
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,1987-07-13,ST_CLERK,2700,0.0,50,2,"America",US,United States of America,1500,2011 Interiors Blvd,99236,South San Francisco,California,Shipping,121,Stock Clerk,2000,5000,1998-03-24,1999-12-31
